тип дорог;Кодификатор;Наименование дороги;Координата начала (y);Координата начала (x);Координата окончания (y);Координата окончания (x);
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Крым – Николаевка;38 ОП МЗ 38Н-227;36.054228;51.529030;36.042818;51.537526;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Крым – Паники – Драчевка;38 ОП МЗ 38Н-229;36.147343;51.384925;36.207343;51.349672;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Крым – Паники – Драчевка – Крым;38 ОП МЗ 38Н-230;36.207343;51.349672;36.187319;51.338056;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Крым – Паники – Драчевка км 2 – Крым;38 ОП МЗ 38Н-231;36.188338;51.374301;36.150448;51.364533;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Крым – Полный – Крым – Полевая;38 ОП МЗ 38Н-237;36.136405;51.435533;36.454598;51.562141;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Крым – Полный – Крым – Полевая – Буды;38 ОП МЗ 38Н-239;36.244835;51.423625;36.244762;51.416467;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Крым – Полный – Крым – Полевая – Вышний Дубовец – граница Обоянского района;38 ОП МЗ 38Н-240;36.268076;51.427069;36.390769;51.400264;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Крым – Полный – Крым – Полевая – Вышний Дубовец – граница Обоянского района – Кленовое;38 ОП МЗ 38Н-242;36.390769;51.400264;36.414775;51.439856;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Крым – Полный – Крым – Полевая – Вышний Дубовец – граница Обоянского района – 2-я Рождественка;38 ОП МЗ 38Н-243;36.286238;51.426659;36.329711;51.460756;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Крым – Полный – Крым – Полевая – 2-я Китаевка – Зеленая Степь;38 ОП МЗ 38Н-244;36.346001;51.489076;36.338512;51.493784;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Крым – Полный – Крым – Полевая – Чермошное;38 ОП МЗ 38Н-245;36.157161;51.442496;36.182400;51.457932;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Крым – Полный – Крым – Полевая – Чермошное – Крым – Полный – Крым – Полевая;38 ОП МЗ 38Н-246;36.224627;51.425262;36.237077;51.436423;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Крым – Полный – Крым – Полевая – Шумовка с подъездом к с. Любимовка;38 ОП МЗ 38Н-248;36.398060;51.516969;36.424757;51.521780;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Крым – Полный – Крым – Полевая – Шумовка с подъездом к с. Любимовка;38 ОП МЗ 38Н-248 ответвление;36.398060;51.516969;36.443811;51.498502;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Крым – Садовый;38 ОП МЗ 38Н-251;36.136290;51.415950;36.170599;51.410233;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Спасское – Константиновка;38 ОП МЗ 38Н-587;35.922428;51.448288;35.951514;51.444748;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Спасское – Спасские Выселки – Кондратьевские Выселки;38 ОП МЗ 38Н-588;35.929503;51.448354;35.929503;51.437617;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Шевелево – Платоновка;38 ОП МЗ 38Н-725;35.999178;51.308592;35.933218;51.315028;
